country,year,cereal_yield,fdi_perc_gdp,gni_per_cap,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,pop_growth_perc,pop,urb_pop_growth_perc
LMY,1996,2485.20075055506,2.21364679324247,1097.08476995998,293.14355136578,901.531289147495,10886504.421498,2.29713321639927,771.212223756081,14.3754055479214,9.97104221160016,5411919841782.33,1.56820325359897,4739169824.27447,2.80010026694602
LMY,1997,2552.06339679206,2.75315308615455,1165.66972125276,281.591692174654,893.416082993607,10865869.8905659,2.25772821814651,733.869915792912,14.5822479493037,10.1994435356236,5722933060473.53,1.55248797554653,4812744865.93706,2.76880496580412
LMY,1998,2574.90698948337,2.84747416219502,1123.24596696171,276.824967696145,884.548931339276,10519935.0568909,2.15310290312118,694.8243627679919,14.8062568634848,10.3921619464387,5533696416632.54,1.52089384226382,4885941606.24697,2.72692451633398
LMY,1999,2637.82297805464,3.05617032261995,1096.75785305405,273.664029570183,893.955633341098,10643991.0248059,2.14674596787506,678.27213293615,15.0492270439295,10.5488632266132,5381619603849.91,1.47885808324071,4958197748.63337,2.67131020975013
LMY,2000,2580.44392930926,2.55520995871254,1131.86158060285,262.73507661032,894.774320666532,10946584.6146319,2.17617022067798,660.2122424873061,15.3211426540606,10.8969781808273,5872118387398.09,1.45230801994872,5030206052.18169,2.63803474799975
MAR,1991,1575.8,1.14045033759641,1060.0,101.850816320195,289.795237339196,24975.937,0.989618253874889,347.809121806057,18.4738887875644,1.25020436464,27836559831.3913,1.82673860920531,25237951.0,3.18116111998101
MAR,1992,587.5,1.48492467783856,1060.0,112.891215547512,302.956697251793,26039.367,1.01400186029472,377.849057685526,18.6389715933168,1.25019017074,28450632466.6198,1.73559147995884,25679802.0,3.07191426117558
MAR,1993,560.4,1.83375575326436,1020.0,118.446048560113,309.488301031586,28217.565,1.08081091714758,413.643365355181,18.8203688924509,1.25017597709,26801064630.6054,1.65282792677604,26107772.0,2.9715283549714
MAR,1994,1584.9,1.81516110700869,1130.0,115.534460916715,327.926488108703,29640.361,1.1175089731409,393.71871886917495,19.018662624983,1.54495026236,30351265891.5571,1.58018549318371,26523600.0,2.88172230439075
MAR,1995,446.7,0.280075474172255,1090.0,122.167727695034,319.067497010613,30373.761,1.12793687752055,431.875658289111,18.996858358771,1.54493896965,32986182669.7892,1.51540161288872,26928600.0,2.80021586067361
MAR,1996,1687.9,0.208555853867965,1270.0,114.9842797539,332.121965780285,31195.169,1.14169055072555,395.265833648163,18.9386130644851,1.5449276767,36638763638.8669,1.45642210719867,27323664.0,2.07346995781089
MAR,1997,833.3,0.0106802078554399,1220.0,121.352329126421,337.945443528874,31862.563,1.14991406834119,412.920940821974,18.8915034357325,1.5449163835,33414747559.5675,1.39913906324527,27708647.0,2.0124027713947
